Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,1061.366599,1097.601465,1063.819645,1138.095434,1167.88212,1288.516731,1303.558751,1537.556261,1620.35851,1679.272073,1867.691937,1875.435732,1854.455554,1824.918548,1822.223443,
Angola,,,,,,,,,,,2442.608404,2667.792972,3088.196608,3122.653226,3249.837852,3504.374421,3904.617883,4873.361691,4755.74678,5769.544887,5420.652765,5360.681296,5392.622395,5796.941172,6074.584876,6250.516978,5956.049481,5789.861511
Albania,,,,,,,4792.643739,4289.733506,4727.709208,5376.465272,5809.415185,6335.687571,6584.982589,7008.77254,7417.938963,7862.344964,8408.576406,8962.641829,9192.807051,9396.7472,9838.802552,10210.40897,10301.19598,10648.3919,10787.12688,11083.47947,11512.30778,11885.50814
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,11576.56884,11610.55601,11378.53613,11886.64296,12384.93136,12723.81166,13203.63164,13631.11177,14062.00853,13835.31619,14075.80884,14310.24165,14584.50313,14606.2536,14882.87828,15149.89819,15219.86908,15094.87693
United Arab Emirates,,,,,,,,,,,,103677.554,96777.00318,97811.70346,98611.77834,93414.85071,90253.63109,81797.11527,72408.77512,61473.45296,57250.70213,58422.32475,59510.21249,62008.82544,64102.69544,66923.32225,68121.35651,67804.55851
Argentina,10375.66645,11679.73191,13050.52023,13713.44067,14306.14211,13674.66648,14224.90579,15185.48303,15539.52641,14826.77664,14537.61184,13715.59798,11512.5402,12559.85337,13610.12196,14963.16045,16076.67067,17462.13391,18000.28887,16659.65751,18083.24456,19073.56787,18778.79934,19077.31815,18429.22351,18436.59696,17857.44746,18460.73665
Armenia,3518.165281,3327.27324,1574.559775,1683.999639,1989.678439,2169.046994,2400.133295,2587.792485,2723.38204,2825.700123,3006.045269,3324.535472,3810.682014,4354.380414,4820.510527,5594.426622,6415.244656,7409.367076,8019.42055,6803.037193,7038.217834,7271.41013,7810.135352,8193.359449,8330.114134,8516.717741,8349.510958,9143.677637
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,17962.28448,,,,,,
Australia,27790.42583,27190.58782,27029.524,28177.85785,29123.22252,29535.95828,30245.23338,31143.1979,32299.60546,33553.81017,34536.31419,34752.88934,35735.63442,36313.35335,37298.54548,37637.59089,38041.73454,38970.51931,39728.73843,39888.23398,39919.7934,40209.66008,41486.06758,42122.97998,42490.3558,43138.48652,43637.03842,43560.05774
Austria,31586.77304,32192.24294,32441.75866,32368.01616,32951.38849,33659.19292,34520.26521,35056.53165,36218.19033,37058.92317,38501.93598,38643.58316,39405.24888,39716.33524,40597.20588,41195.71815,42599.6452,43896.11608,44814.98005,42639.5394,43700.0727,44602.61104,44597.38802,44420.26778,44379.56833,43984.09777,44443.22753,
Azerbaijan,,,,4915.189443,3893.197798,3387.192849,3362.660358,3562.041566,3879.730324,4105.005755,4314.37545,4692.429197,5130.205605,5657.834803,6016.905081,6940.1551,8940.627219,10495.2094,12383.11744,14364.4363,15246.1256,14676.41976,15107.13503,,,,,
Burundi,,,,,,,,758.8871468,788.3485645,765.2705175,766.1795948,741.594254,751.3724226,715.2927268,720.6141009,712.929409,733.685121,744.6882961,757.6523162,752.9439702,759.0644079,765.7779258,776.0001701,791.5391402,801.543835,748.2344309,721.2081713,
Belgium,30780.95604,31342.08178,31687.48407,31563.85233,32719.58271,33350.14047,33853.84372,35060.33954,35677.41806,36822.00117,38152.29935,38062.23878,38509.89906,38714.30282,39734.78755,40280.52125,41091.11847,42178.95214,42588.70663,40409.60085,42384.82895,41664.65486,42044.47068,41601.56705,41582.68053,41727.20983,,
Benin,1431.722023,1449.18099,1409.439033,1469.933464,1442.976109,1482.001092,1499.659287,1548.895196,1576.689929,1614.73677,1658.687361,1693.990194,1712.836666,1717.638913,1743.289927,1729.598327,1742.71601,1791.023753,1838.309912,1823.259186,1804.672426,1817.282455,1840.410249,1919.46337,1987.918572,1980.439184,2010.439645,2061.433065
Burkina Faso,845.3376504,897.1295156,874.733705,878.6777918,865.1127372,892.7782203,970.8412865,1000.243631,1043.551199,1088.828472,1068.565206,1108.764357,1127.35645,1180.30447,1197.252385,1266.363957,1310.345877,1340.43975,1395.326341,1393.027007,1389.205096,1418.445095,1493.511171,1531.934072,1518.446385,1527.08287,1599.736125,1650.092096
Bangladesh,1319.604563,1333.995832,1378.487879,1415.528682,1445.347829,1485.394089,1512.736371,1550.090805,1596.957253,1641.091466,1697.513478,1746.694715,1796.17,1848.850181,1921.056954,2018.396219,2149.974834,2289.865501,2425.570433,2525.088443,2641.368119,2774.404938,2933.447832,3061.70811,3169.806771,3333.880774,3509.415947,3676.923378
Bulgaria,8518.070941,7743.297353,7940.249214,7880.292702,8035.499745,8209.820365,8247.883297,8281.47574,8716.934842,8278.232481,8641.655086,9372.40515,10325.89377,10900.60083,11642.36988,12461.31798,13066.5615,13453.76374,14811.4532,14715.25874,14975.52096,15183.6928,15570.28721,15654.91994,16170.755,16663.21895,17758.7547,18740.11184
Bahrain,,,,,,,,,,,,,,,,,42372.22613,42694.34524,41152.88141,37212.32791,37243.67332,35441.7178,36142.35788,37627.84714,36607.16987,42177.55452,,
"Bahamas, The",29221.47385,27451.03292,26633.3081,25872.07151,26216.71429,31158.74388,34305.21267,21548.75433,22811.82623,23698.14398,24119.61279,24698.16366,24254.6254,23700.69974,23815.91774,23631.45274,24027.25284,23688.37165,23337.59297,22088.06806,22072.10769,22026.39384,28844.93403,28360.09308,27574.60744,27602.10791,26632.35882,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,9022.447349,9558.985479,10187.88275,9941.531096,9879.152794,9981.078521,10006.80509,10419.35066,10599.92724,11003.51676,11352.63612,11716.0207
Belarus,8428.495656,8323.26964,7508.032323,6921.838098,6108.432841,5481.750532,5662.182367,6310.888538,6872.308782,7154.127448,7602.433948,7997.522087,8473.433562,9167.112023,10283.45444,11337.45067,12474.02951,13506.55527,14847.633,14736.03191,15978.97687,16815.00917,17049.49331,16863.33394,17264.48399,16227.75269,15765.25042,16323.46154
Belize,4984.353141,5405.699214,5925.072839,6186.968654,6007.611982,5938.207965,5807.615002,5834.676148,5756.071788,5982.626072,6480.743926,6508.907123,6684.509271,7012.944023,7015.714283,7072.806457,7207.766051,6935.823655,7022.305658,7199.429929,7035.225795,7336.876164,7377.359194,7275.685863,7329.667123,7665.757422,7418.531174,7165.80992
Bermuda,,,,,,,,,,,,,,,,,,,,,,68113.31457,,,,,,
Bolivia,3540.220068,3675.128758,3707.758482,3784.458083,3904.203983,3996.56179,4131.562093,4240.405565,4392.188773,4307.269921,4319.617467,4314.830798,4340.869586,4325.423125,4392.882095,4528.402324,4681.535243,4801.686164,5037.604931,5092.851048,5178.10383,5327.321172,5432.777075,5703.722954,6013.208777,6345.118332,6621.215621,6714.027191
Brazil,,,,,,,,,,,,,,,,,,,,,,14583.0792,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,15411.32331,,,,,,
